,BDM,Territory,SourceSpreadsheetID,ItemKey,GenericName,BrandName,DosageStrength,BatchLotNo,ExpiryDate,SoldPer,StockOnHand,MinimalStock,PurchasePrice,SellingPrice,InventoryValue,IsActive,NearExpiryFlag,StockStatus,Remarks
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Lazicare | 20 mg/2 mL | 240440,Furosimide,Lazicare,20 mg/2 mL,240440,04/30/27,ampoule,50,100,5.50,45.00,275.00,TRUE,REORDER,LOW,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Porfever | 300 mg/2 mL | 240444,Paracetamol,Porfever,300 mg/2 mL,240444,04/30/27,ampoule,40,200,6.50,35.00,260.00,TRUE,REORDER,LOW,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Metoclosil | 10 mg/2 mL | 2403139,Metoclopramide,Metoclosil,10 mg/2 mL,2403139,03/30/27,ampoule,300,200,5.50,45.00,"1,650.00",TRUE,OK,OK,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Vitasone | 100 mg | M240041,Hydrocortisone,Vitasone,100 mg,M240041,04/03/27,vial,20,50,75.00,225.00,"1,500.00",TRUE,REORDER,LOW,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Pantrex | 100 mg/mL | 1123152,Tranexamic Acid,Pantrex,100 mg/mL,1123152,10/30/26,ampoule,0,100,53.00,160.00,0.00,TRUE,OUT OF STOCK,OUT,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Seredol | 5 mg/mL | 223490,Haloperidol,Seredol,5 mg/mL,223490,11/01/26,ampoule,3,3,"1,350.00","1,690.00","4,050.00",TRUE,REORDER,OK,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Phytocore | 10 mg/2 mL | 230941,Phytomenadione,Phytocore,10 mg/2 mL,230941,09/30/26,ampoule,70,100,15.00,75.00,"1,050.00",TRUE,REORDER,LOW,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Nupira 4 | 4 mg/4 mL | L0462308E2,Norepnephrine,Nupira 4,4 mg/4 mL,L0462308E2,04/24/26,ampoule,10,20,100.00,780.00,"1,000.00",TRUE,EXPIRY RISK,LOW,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Phenerex | 50 mg/2 mL | 339,Promethazine,Phenerex,50 mg/2 mL,339,08/30/26,ampoule,190,190,21.80,100.00,"4,142.00",TRUE,REORDER,OK,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Farsorbid | 10mg/10 mL | 3RF007,Isosorbide Dinarate,Farsorbid,10mg/10 mL,3RF007,06/30/26,ampoule,10,10,370.00,500.00,"3,700.00",TRUE,EXPIRY RISK,OK,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Sodicarb | 84 mg/mL (8.4% w/v) | 5240014,Sodium Bicarbonate,Sodicarb,84 mg/mL (8.4% w/v),5240014,08/26/27,ampoule,70,100,77.50,300.00,"5,425.00",TRUE,REORDER,LOW,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Axagyl | 500 mg/100 mL | DK40567,Metronidazole,Axagyl,500 mg/100 mL,DK40567,10/30/27,bottle,150,300,19.00,140.00,"2,850.00",TRUE,REORDER,LOW,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Emacif | 100 mg/5 mL | ACS055,Cefixime,Emacif,100 mg/5 mL,ACS055,10/30/26,bottle,10,10,70.00,160.00,700.00,TRUE,REORDER,OK,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Axalav | 1.2 g | UAL23001,Co Amoxiclav,Axalav,1.2 g,UAL23001,11/30/26,vial,20,20,70.00,350.00,"1,400.00",TRUE,REORDER,OK,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Tazacin | 4.5 g | UTZ23006,Piperacillin Tazobactam,Tazacin,4.5 g,UTZ23006,03/30/26,vial,30,30,200.00,600.00,"6,000.00",TRUE,EXPIRY RISK,OK,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Khrizvix | 75 mg | CJ0008,Clopidogrel,Khrizvix,75 mg,CJ0008,09/30/26,tablet,100,100,1.00,5.00,100.00,TRUE,REORDER,OK,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Glycemet | 500 mg | 240705,Metformin,Glycemet,500 mg,240705,07/30/27,tablet,100,100,0.38,5.00,38.00,TRUE,REORDER,OK,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Cort | 20 mg | 3J017C,Prenisone,Cort,20 mg,3J017C,10/30/26,tablet,100,100,2.19,10.00,219.00,TRUE,REORDER,OK,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Melatonin | 3 mg | SATA22191,Medi -Nite,Melatonin,3 mg,SATA22191,10/14/25,tablet,100,100,0.00,0.00,0.00,FALSE,EXPIRY RISK,OK,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Telmibet | 80 mg | EGT240212,Telmisartan,Telmibet,80 mg,EGT240212,06/30/27,tablet,60,60,3.83,10.00,229.80,TRUE,REORDER,OK,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Anaway Forte | 500 mg | 2408071,Sambong,Anaway Forte,500 mg,2408071,08/30/27,tablet,100,100,3.00,10.00,300.00,TRUE,REORDER,OK,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Xanginart | 35 mg | FK16A401,Trimetazidine,Xanginart,35 mg,FK16A401,12/30/26,tablet,120,100,4.17,15.00,500.40,TRUE,OK,OK,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Clindex 600 | 600 mg/4 mL | ML24596,Clindamycin,Clindex 600,600 mg/4 mL,ML24596,07/30/26,ampoule,520,150,105.00,650.00,"54,600.00",TRUE,EXPIRY RISK,OK,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Arcimet | 10 mg/2 mL | AE023001,Metoclopramide,Arcimet,10 mg/2 mL,AE023001,02/28/26,ampoule,650,150,26.80,70.00,"17,420.00",FALSE,EXPIRY RISK,OK,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Vitral | 50 mg/mL | A250592,Tramadol,Vitral,50 mg/mL,A250592,08/09/29,ampoule,400,150,47.00,110.00,"18,800.00",TRUE,OK,OK,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Pletaxol | 100 mg | 4A318A,Cilostazol,Pletaxol,100 mg,4A318A,02/28/26,ampoule,330,100,0.00,0.00,0.00,FALSE,EXPIRY RISK,OK,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Bronchonov | 1 mg/mL | 2440036E,Salbutamol,Bronchonov,1 mg/mL,2440036E,05/30/26,ampoule,420,100,0.00,0.00,0.00,FALSE,EXPIRY RISK,OK,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Lozemed Plain | 1.2/ 600 mcg | KSH23014,"2,4- Dichlorobenzyl Alcohol Amylmetacresol",Lozemed Plain,1.2/ 600 mcg,KSH23014,10/30/26,tablet,96,90,0.00,0.00,0.00,FALSE,OK,OK,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Flucysteine 600 | 600 mg | BW24023,Acetylcysteine,Flucysteine 600,600 mg,BW24023,03/30/26,sachet,30,30,0.00,0.00,0.00,FALSE,EXPIRY RISK,OK,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Ketonix | 30 mg/mL | ACF23001,Ketorolac Trometamol,Ketonix,30 mg/mL,ACF23001,01/30/26,ampoule,100,100,0.00,0.00,0.00,FALSE,EXPIRY RISK,OK,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Bupiright | 5 mg/mL | 4602202,Bupivacaine,Bupiright,5 mg/mL,4602202,06/30/25,vial,6,0,0.00,0.00,0.00,FALSE,EXPIRY RISK,OK,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Atrix | 1 mg/mL | 220901,Atropine,Atrix,1 mg/mL,220901,09/30/25,ampoule,80,0,0.00,0.00,0.00,FALSE,EXPIRY RISK,OK,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Truferacid | 500 mg | 3FU604A2,Iron Multivitamins,Truferacid,500 mg,3FU604A2,02/30/25,capsules,100,0,0.00,0.00,0.00,FALSE,OK,OK,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Vitazol | 5 mg/mL | 230308,Metronidaziole,Vitazol,5 mg/mL,230308,03/30/26,bottles,300,200,33.00,140.00,"9,900.00",TRUE,EXPIRY RISK,OK,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Vitaroxima | 750 mg | C240132,Cefuroxime,Vitaroxima,750 mg,C240132,11/07/27,vial,360,200,115.00,500.00,"41,400.00",TRUE,OK,OK,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Axagyl | 500 mg/100 mL | DK40571,Metronidazole,Axagyl,500 mg/100 mL,DK40571,10/30/27,bottles,200,300,19.00,140.00,"3,800.00",TRUE,REORDER,LOW,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,HCD Nitrile | Medium | PO0600003773102503,Nitrile Gloves,HCD Nitrile,Medium,PO0600003773102503,10/30/28,box of 100s,295,300,140.00,180.00,"41,300.00",TRUE,REORDER,LOW,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,HCD Nitrile | Small | PO0600003773102502,Nitrile Gloves,HCD Nitrile,Small,PO0600003773102502,10/30/28,box of 100s,35,300,140.00,180.00,"4,900.00",TRUE,REORDER,LOW,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Partners Surgical Mask | Earloop | SC250601PH,Face Mask,Partners Surgical Mask,Earloop,SC250601PH,06/30/30,box of 50s,57,60,43.88,90.00,"2,501.16",TRUE,EXPIRY RISK,LOW,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,HCD Nitrile | Large | PO0600003365122404,Nitrile Gloves,HCD Nitrile,Large,PO0600003365122404,12/30/27,box of 100s,180,300,140.00,180.00,"25,200.00",TRUE,REORDER,LOW,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Glomed Latex | Medium | 219036396LC2A,Latex Gloves,Glomed Latex,Medium,219036396LC2A,05/26/30,box of 100s,90,200,140.00,180.00,"12,600.00",FALSE,EXPIRY RISK,LOW,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Partners S Cath | FR 14 | SC230726PH,Suction Catheter,Partners S Cath,FR 14,SC230726PH,08/29/28,piece,46,50,6.00,12.00,276.00,TRUE,REORDER,LOW,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Partners S Cath | FR 10 | SC240315PH,Suction Catheter,Partners S Cath,FR 10,SC240315PH,04/09/29,piece,95,50,6.00,12.00,570.00,TRUE,OK,OK,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Partners S Cath | FR 12 | MDK23877923,Suction Catheter,Partners S Cath,FR 12,MDK23877923,04/20/28,piece,61,50,6.00,12.00,366.00,TRUE,OK,OK,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Partners S Cath | FR 16 | SC240416PH,Suction Catheter,Partners S Cath,FR 16,SC240416PH,05/19/29,piece,95,50,6.00,12.00,570.00,TRUE,OK,OK,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Partners E Tube | FR 8 | 2304010770,Endotrachea Tube,Partners E Tube,FR 8,2304010770,03/30/28,piece,7,10,34.00,55.00,238.00,TRUE,REORDER,LOW,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Partners S Tube | FR 16 | MDK23877917,Stomach Tube,Partners S Tube,FR 16,MDK23877917,03/30/28,piece,45,50,10.00,14.00,450.00,TRUE,REORDER,LOW,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Partners S Tube | FR14 | SC231026PH,Stomach Tube,Partners S Tube,FR14,SC231026PH,12/06/28,piece,45,50,10.00,14.00,450.00,TRUE,REORDER,LOW,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Ormed Macroset | 20 drops | 420206,Infusion Set,Ormed Macroset,20 drops,420206,02/30/29,piece,21,50,17.00,30.00,357.00,TRUE,REORDER,LOW,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Ormed Microset | 60 drops | 420206,Infusion Set,Ormed Microset,60 drops,420206,02/30/29,piece,8,50,17.00,30.00,136.00,TRUE,REORDER,LOW,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Partners Elastic Bandage | 4 inch x 5 yards | JA230209U,Elastic Bandage,Partners Elastic Bandage,4 inch x 5 yards,JA230209U,03/30/29,piece,24,12,17.00,30.00,408.00,TRUE,OK,OK,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Partners Elastic Bandage | 3 inch x5 yards | JA230209U,Elastic Bandage,Partners Elastic Bandage,3 inch x5 yards,JA230209U,03/30/28,piece,12,12,17.00,30.00,204.00,TRUE,REORDER,OK,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Partners ECG Paper | 50 mm x 30m | MDK24959980,ECG Paper,Partners ECG Paper,50 mm x 30m,MDK24959980,12/31/28,roll,50,10,42.73,80.00,"2,136.50",TRUE,OK,OK,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Partners Ngt | FR 16 | MDK23877969,Silicone,Partners Ngt,FR 16,MDK23877969,11/20/28,piece,15,15,122.00,185.00,"1,830.00",TRUE,REORDER,OK,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Partners Ngt | FR 18 | MD21777008,Silicone,Partners Ngt,FR 18,MD21777008,11/20/26,piece,1,15,130.00,185.00,130.00,TRUE,REORDER,LOW,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Tachyban | 6 mg/2 mL | T230529,Adenosine,Tachyban,6 mg/2 mL,T230529,03/30/26,ampoule,11,0,180.00,570.00,"1,980.00",TRUE,EXPIRY RISK,OK,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Pantrex | 500 mg/5 mL | 1125088,Tranexamic Acid,Pantrex,500 mg/5 mL,1125088,11/30/28,ampoule,300,100,53.00,160.00,"15,900.00",TRUE,OK,OK,
DIG,Menivie Daniela,VIP Davao,1IR8cNNH4KOiMUFREvFXq0wOCiIePAmYcHM8vVRkPnas,Partners | KN 95 | JA251220U,Face Mask,Partners,KN 95,JA251220U,12/19/28,piece,0,2000,4.64,10.00,0.00,TRUE,OUT OF STOCK,OUT,
DUM,Edcel Mae Arespacochaga,VIP Dumaguete,17J5RP7HqErs6Tv7daOAxKxU7nd77wX7EkUkpR06AuJY,Viprazole | 40 mg | DG50113,Omeprazole,Viprazole,40 mg,DG50113,01/31/28,vial,17,0,40.00,450.00,680.00,FALSE,OK,OK,
DUM,Edcel Mae Arespacochaga,VIP Dumaguete,17J5RP7HqErs6Tv7daOAxKxU7nd77wX7EkUkpR06AuJY,Viptriaxone | 1 g | ECFXM24107,Ceftriaxone,Viptriaxone,1 g,ECFXM24107,03/30/29,vial,17,100,35.00,500.00,595.00,TRUE,REORDER,LOW,
DUM,Edcel Mae Arespacochaga,VIP Dumaguete,17J5RP7HqErs6Tv7daOAxKxU7nd77wX7EkUkpR06AuJY,Kelxime | 1 g | ECEFM24001,Cefotaxime,Kelxime,1 g,ECEFM24001,09/30/28,vial,7,100,60.00,300.00,420.00,TRUE,REORDER,LOW,
DUM,Edcel Mae Arespacochaga,VIP Dumaguete,17J5RP7HqErs6Tv7daOAxKxU7nd77wX7EkUkpR06AuJY,Vitazol | 500 mg/100 mL | 230308,Mentronidazole,Vitazol,500 mg/100 mL,230308,03/30/26,bottle,380,0,33.11,180.00,"12,581.80",FALSE,EXPIRY RISK,OK,
DUM,Edcel Mae Arespacochaga,VIP Dumaguete,17J5RP7HqErs6Tv7daOAxKxU7nd77wX7EkUkpR06AuJY,Ciproson | 200 mg/100 mL | 26450030,Ciprofloxacin,Ciproson,200 mg/100 mL,26450030,12/30/27,bottle,10,0,85.00,550.00,850.00,FALSE,OK,OK,
DUM,Edcel Mae Arespacochaga,VIP Dumaguete,17J5RP7HqErs6Tv7daOAxKxU7nd77wX7EkUkpR06AuJY,Sodicarb | 84 mg/mL (8.4% w/v) | 05240014,Sodium Bicarbonate,Sodicarb,84 mg/mL (8.4% w/v),5240014,08/26/27,ampoule,80,100,78.00,250.00,"6,240.00",TRUE,REORDER,LOW,
DUM,Edcel Mae Arespacochaga,VIP Dumaguete,17J5RP7HqErs6Tv7daOAxKxU7nd77wX7EkUkpR06AuJY,Cefazovit | 1 g | C240029,Cefazolin,Cefazovit,1 g,C240029,02/16/27,vial,70,100,115.00,450.00,"8,050.00",TRUE,REORDER,LOW,
DUM,Edcel Mae Arespacochaga,VIP Dumaguete,17J5RP7HqErs6Tv7daOAxKxU7nd77wX7EkUkpR06AuJY,Vitaroxima | 750 mg  | C240132,Cefuroxime ,Vitaroxima,750 mg ,C240132,11/07/27,vial,60,100,115.00,400.00,"6,900.00",FALSE,REORDER,LOW,
DUM,Edcel Mae Arespacochaga,VIP Dumaguete,17J5RP7HqErs6Tv7daOAxKxU7nd77wX7EkUkpR06AuJY,Ranicid | 50 mg/2 ml | AFU25002,Ranitidine,Ranicid,50 mg/2 ml,AFU25002,05/30/28,ampoule,180,500,7.00,95.00,"1,260.00",TRUE,REORDER,LOW,
DUM,Edcel Mae Arespacochaga,VIP Dumaguete,17J5RP7HqErs6Tv7daOAxKxU7nd77wX7EkUkpR06AuJY,Ketonix | 30 mg/ml | ACF23001,Ketorolac,Ketonix,30 mg/ml,ACF23001,01/30/26,ampoule,10,100,30.24,130.00,302.40,TRUE,EXPIRY RISK,LOW,
DUM,Edcel Mae Arespacochaga,VIP Dumaguete,17J5RP7HqErs6Tv7daOAxKxU7nd77wX7EkUkpR06AuJY,Tachyban | 6 mg/2 mL | 2F25001,Adenosine,Tachyban,6 mg/2 mL,2F25001,01/30/28,ampoule,5,100,180.00,570.00,900.00,TRUE,REORDER,LOW,
DUM,Edcel Mae Arespacochaga,VIP Dumaguete,17J5RP7HqErs6Tv7daOAxKxU7nd77wX7EkUkpR06AuJY,Metoclosil | 10 mg/2 mL | 2403139,Metoclopramide,Metoclosil,10 mg/2 mL,2403139,03/30/27,ampoule,10,100,5.50,55.00,55.00,TRUE,REORDER,LOW,
DUM,Edcel Mae Arespacochaga,VIP Dumaguete,17J5RP7HqErs6Tv7daOAxKxU7nd77wX7EkUkpR06AuJY,Neotalis | 0.5 mg/mL | A241162,Neostigmine,Neotalis,0.5 mg/mL,A241162,03/11/28,ampoule,10,150,59.00,250.00,590.00,TRUE,REORDER,LOW,
DUM,Edcel Mae Arespacochaga,VIP Dumaguete,17J5RP7HqErs6Tv7daOAxKxU7nd77wX7EkUkpR06AuJY,Arcicort | 100 mg | 5056,Hydrocortisone,Arcicort,100 mg,5056,02/30/28,vial,10,0,48.00,225.00,480.00,FALSE,OK,OK,
DUM,Edcel Mae Arespacochaga,VIP Dumaguete,17J5RP7HqErs6Tv7daOAxKxU7nd77wX7EkUkpR06AuJY,Phytocare | 10 mg/mL | 250571,Phytomenadione,Phytocare,10 mg/mL,250571,05/30/28,ampoule,10,0,14.80,75.00,148.00,FALSE,OK,OK,
DUM,Edcel Mae Arespacochaga,VIP Dumaguete,17J5RP7HqErs6Tv7daOAxKxU7nd77wX7EkUkpR06AuJY,Porfever | 300 mg/2 mL | 240386,Paracetamol,Porfever,300 mg/2 mL,240386,03/30/27,ampoule,10,0,6.50,35.00,65.00,FALSE,OK,OK,
DUM,Edcel Mae Arespacochaga,VIP Dumaguete,17J5RP7HqErs6Tv7daOAxKxU7nd77wX7EkUkpR06AuJY,Gentacare | 80 mg/2 mL | 2503101,Gentamicin,Gentacare,80 mg/2 mL,2503101,03/30/28,ampoule,10,100,4.50,35.00,45.00,TRUE,REORDER,LOW,
DUM,Edcel Mae Arespacochaga,VIP Dumaguete,17J5RP7HqErs6Tv7daOAxKxU7nd77wX7EkUkpR06AuJY,Dixin | 250 mcg/mL | IDGNAK501,Digoxin,Dixin,250 mcg/mL,IDGNAK501,04/30/28,ampoule,10,100,105.00,250.00,"1,050.00",TRUE,REORDER,LOW,
